Time,in_V_M1,in_V_M2,in_V_M3,in_V_M4,out_W_M1,out_W_M2,out_W_M3,out_W_M4,V_Batt,j
4109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,2 
4119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,3
4129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,4
4139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,5
4149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,6
4159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,7
4169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.42,8
4179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,9
4189,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,10
4199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,11
4209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,12
4219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,13
4229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,14
4239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,15
4249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,16
4259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,17
4269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,18
4279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,19
4289,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,20
4299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,21
4309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,22
4319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,23
4329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,24
4339,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,25
4349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,26
4359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,27
4369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,28
4379,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,29
4389,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,30
4399,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,31
4409,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,32
4419,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,33
4429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,34
4439,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,35
4449,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,36
4459,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,37
4469,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,38
4479,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,39
4489,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,40
4499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,41
4509,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,42
4519,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,43
4529,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,44
4539,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,45
4549,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,46
4559,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,47
4569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,48
4579,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,49
4589,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,50
4599,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,51
4609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,52
4619,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,53
4629,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,54
4639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,55
4649,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,56
4659,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,57
4669,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,58
4679,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,59
4689,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,60
4699,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,61
4709,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,62
4719,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,63
4729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,64
4739,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,65
4749,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,66
4759,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,67
4769,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,68
4779,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,69
4789,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,70
4799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,71
4809,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,72
4819,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,73
4829,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,74
4839,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,75
4849,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,76
4859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,77
4869,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,78
4879,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,79
4889,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,80
4899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,81
4909,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,82
4919,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,83
4929,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,84
4939,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,85
4949,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,86
4959,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,87
4969,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.41,88
