Time,in_V_M1,in_V_M2,in_V_M3,in_V_M4,out_W_M1,out_W_M2,out_W_M3,out_W_M4,V_Batt,j
4099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,1
4109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,2
4119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,3
4129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,4
4139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,5
4149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,6
4159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,7
4169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,8
4179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,9 
4189,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,10
4199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,11
4209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,12
4219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,13
4229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,14
4239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,15
4249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,16
4259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,17
4269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,18
4279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,19
4289,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,20
4299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,21
4309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,22
4319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,23
4329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,24
4339,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,25
4349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,26
4359,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,27
